"month","country","mean_order_growth","dummy_Bangladesh","dummy_HK","dummy_Malaysia","dummy_Pakistan","dummy_Philippines","dummy_Taiwan","dummy_Thailand"
1903,"Philippines",4.08018537843557,0,0,0,0,1,0,0
1903,"Singapore",6.00949112583354,0,0,0,0,0,0,0
1903,"Taiwan",24.424395253511,0,0,0,0,0,1,0
1903,"Thailand",17.537071272654,0,0,0,0,0,0,1
1904,"Bangladesh",4.58706097585493,1,0,0,0,0,0,0
1904,"Hong Kong",-3.77115771652963,0,1,0,0,0,0,0
1904,"Malaysia",1.53996913853959,0,0,1,0,0,0,0
1904,"Pakistan",-3.56946588030683,0,0,0,1,0,0,0
1904,"Philippines",2.51125879505623,0,0,0,0,1,0,0
1904,"Singapore",-6.71418003356007,0,0,0,0,0,0,0
1904,"Taiwan",0.887450244677891,0,0,0,0,0,1,0
1904,"Thailand",5.27692194158995,0,0,0,0,0,0,1
