"","month","country","fit","lwr","upr"
"57","08","Bangladesh",285327.730292564,237508.75657618,333146.704008949
"58","08","Hong Kong",326653.085247836,278834.111531452,374472.058964221
"59","08","Malaysia",619835.6010667,572016.627350315,667654.574783085
"60","08","Pakistan",516992.030205703,469173.056489318,564811.003922087
"61","08","Philippines",402221.528052114,354402.55433573,450040.501768499
"62","08","Singapore",594519.259363668,546700.285647283,642338.233080052
"63","08","Taiwan",604056.97278009,556237.999063705,651875.946496474
"64","08","Thailand",398637.173987576,350818.200271192,446456.147703961
"65","09","Bangladesh",286765.216442247,240254.588038954,333275.844845541
"66","09","Hong Kong",325878.04377747,279367.415374177,372388.672180764
"67","09","Malaysia",622184.300174184,575673.671770891,668694.928577478
"68","09","Pakistan",509523.566786081,463012.938382787,556034.195189374
"69","09","Philippines",399343.287425557,352832.659022264,445853.915828851
"70","09","Singapore",586107.672561002,539597.044157708,632618.300964295
"71","09","Taiwan",612918.689719633,566408.061316339,659429.318122926
"72","09","Thailand",397381.374406446,350870.746003153,443892.00280974
"73","10","Bangladesh",307161.374237942,258930.484793171,355392.263682713
"74","10","Hong Kong",342930.047637803,294699.158193032,391160.937082574
"75","10","Malaysia",663970.917024544,615740.027579773,712201.806469315
"76","10","Pakistan",532959.368424686,484728.478979915,581190.257869457
"77","10","Philippines",421890.110292342,373659.220847572,470120.999737113
"78","10","Singapore",610982.420138668,562751.530693897,659213.309583439
"79","10","Taiwan",661673.185572868,613442.296128097,709904.075017639
"80","10","Thailand",420266.940607952,372036.051163181,468497.830052723
"81","11","Bangladesh",307995.923689631,260991.527335547,355000.320043714
"82","11","Hong Kong",344022.468429215,297018.072075131,391026.864783298
"83","11","Malaysia",666143.539955918,619139.143601835,713147.936310001
"84","11","Pakistan",526845.59231914,479841.195965057,573849.988673223
"85","11","Philippines",419101.080628104,372096.684274021,466105.476982188
"86","11","Singapore",605544.664134682,558540.267780598,652549.060488765
"87","11","Taiwan",669260.621359464,622256.225005381,716265.017713548
"88","11","Thailand",419743.632373134,372739.23601905,466748.028727217
"89","12","Bangladesh",329197.912793876,280362.449820593,378033.375767159
"90","12","Hong Kong",364107.343877489,315271.880904206,412942.806850772
"91","12","Malaysia",710667.977150607,661832.514177324,759503.44012389
"92","12","Pakistan",552769.830407277,503934.367433994,601605.29338056
"93","12","Philippines",443055.328228031,394219.865254748,491890.791201314
"94","12","Singapore",634683.458586645,585847.995613362,683518.921559928
"95","12","Taiwan",720498.821675388,671663.358702105,769334.284648671
"96","12","Thailand",444841.803989606,396006.341016323,493677.266962889
